                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9596,                  4.905,                 1.2077,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.8091,                 4.8863,                 1.2055,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.097297,             0.00029703,             0.00029703
                      2,                 1.9499,                 4.8058,                 1.2185,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.09549,              0.0004901,              0.0004901
                      3,                   1.82,                 4.8155,                 1.2504,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.093679,             0.00067921,             0.00067921
                      4,                 1.7618,                 4.6315,                 1.1213,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.091864,             0.00086436,             0.00086436
                      5,                 1.8374,                 4.7897,                 1.1283,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.090046,              0.0010455,              0.0010455
                      6,                 1.6398,                 4.6386,                 1.0711,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.088223,              0.0012228,              0.0012228
                      7,                 1.6321,                 4.4878,                 1.0228,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.086396,               0.001396,               0.001396
                      8,                 1.4642,                 4.3632,                0.96551,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.084565,              0.0015654,              0.0015654
                      9,                 1.6897,                 4.3641,                 1.0778,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.082731,              0.0017307,              0.0017307
                     10,                  1.525,                 4.0915,                0.97799,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.080892,              0.0018921,              0.0018921
                     11,                 1.4699,                 3.9734,                0.96903,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.07905,              0.0020495,              0.0020495
                     12,                 1.6278,                 3.7703,                 0.9703,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.077203,               0.002203,               0.002203
                     13,                 1.5297,                 3.6563,                0.96035,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.075353,              0.0023525,              0.0023525
                     14,                 1.3748,                 3.2841,                0.91524,                0.00062,                0.16667,                0.16583,                0.11608,                      0,                    inf,                      0,               0.073498,              0.0024981,              0.0024981
                     15,                 1.4792,                 2.9465,                0.90825,                0.00102,                    0.2,                0.16613,                0.08298,                      0,                    inf,                      0,                0.07164,              0.0026396,              0.0026396
                     16,                 1.6351,                  3.049,                0.98239,                0.00239,                    0.3,                0.28185,                0.24618,                      0,                    inf,                      0,               0.069777,              0.0027773,              0.0027773
                     17,                 1.6431,                 2.6296,                 1.0013,                0.00282,                0.33333,                0.20729,                0.14431,                      0,                    inf,                      0,               0.067911,              0.0029109,              0.0029109
                     18,                 1.3493,                 2.6717,                 1.0315,                  0.005,                    0.5,                0.33606,                0.23488,                      0,                    inf,                      0,               0.066041,              0.0030407,              0.0030407
                     19,                 1.6326,                 2.5442,                0.97025,                 0.0076,                0.66667,                0.35963,                 0.1877,                      0,                    inf,                      0,               0.064166,              0.0031664,              0.0031664
                     20,                 1.5626,                 2.1512,                0.90336,                0.00748,                0.66667,                0.46171,                0.27508,                      0,                    inf,                      0,               0.062288,              0.0032882,              0.0032882
                     21,                 1.4562,                 2.0206,                0.94228,                0.00978,                0.83333,                0.66816,                0.29501,                      0,                    inf,                      0,               0.060406,               0.003406,               0.003406
                     22,                 1.6464,                 1.8397,                 1.0688,                 0.0098,                0.83333,                0.67049,                0.37774,                      0,                    inf,                      0,                0.05852,              0.0035199,              0.0035199
                     23,                 1.3934,                 1.6987,                 1.0028,                0.01021,                0.83333,                0.66601,                0.36763,                      0,                    inf,                      0,                0.05663,              0.0036298,              0.0036298
                     24,                 1.4318,                 1.7849,                0.91169,                0.00779,                0.66667,                0.66333,                0.38445,                      0,                    inf,                      0,               0.054736,              0.0037358,              0.0037358
                     25,                 1.2007,                 1.5347,                0.85977,                0.01032,                0.83333,                0.67338,                0.44034,                      0,                    inf,                      0,               0.052838,              0.0038378,              0.0038378
                     26,                 1.6488,                 1.8642,                0.90008,                0.00976,                    0.8,                0.67444,                0.40282,                      0,                    inf,                      0,               0.050936,              0.0039358,              0.0039358
                     27,                 1.2789,                 1.6627,                0.92775,                0.00976,                    0.8,                0.67444,                0.40282,                      0,                    inf,                      0,                0.04903,              0.0040299,              0.0040299
                     28,                  1.492,                 1.5473,                0.98642,                0.01048,                0.83333,                0.82917,                0.53108,                      0,                    inf,                      0,                0.04712,                0.00412,                0.00412
                     29,                 1.4576,                 1.5812,                0.92637,                0.01862,                0.83333,                0.80224,                0.46899,                      0,                    inf,                      0,               0.045206,              0.0042061,              0.0042061
                     30,                 1.4082,                 1.6605,                0.91501,                0.01862,                0.83333,                0.80224,                0.46899,                      0,                    inf,                      0,               0.043288,              0.0042883,              0.0042883
                     31,                  1.395,                 1.6374,                 0.9402,                0.01046,                0.83333,                0.82917,                0.51018,                      0,                    inf,                      0,               0.041367,              0.0043665,              0.0043665
                     32,                 1.5104,                 1.5925,                  1.034,                0.01063,                0.83333,                0.82917,                0.50844,                      0,                    inf,                      0,               0.039441,              0.0044408,              0.0044408
                     33,                 1.3559,                 1.4509,                0.98008,                0.01063,                0.83333,                0.82917,                0.50844,                      0,                    inf,                      0,               0.037511,              0.0045111,              0.0045111
                     34,                 1.4305,                 1.6857,                0.94507,                0.01066,                0.83333,                0.82917,                0.52334,                      0,                    inf,                      0,               0.035577,              0.0045775,              0.0045775
                     35,                 1.3536,                 1.6648,                0.93415,                0.01062,                0.83333,                0.82361,                0.51079,                      0,                    inf,                      0,                0.03364,              0.0046399,              0.0046399
                     36,                 1.6993,                 1.8933,                0.96153,                0.01062,                0.83333,                0.82361,                0.51079,                      0,                    inf,                      0,               0.031698,              0.0046983,              0.0046983
                     37,                 1.4493,                 1.3773,                 0.9469,                0.01061,                0.83333,                0.82917,                0.59049,                      0,                    inf,                      0,               0.029753,              0.0047528,              0.0047528
                     38,                 1.7702,                 1.5107,                0.98032,                0.01064,                0.83333,                0.80153,                0.30923,                      0,                    inf,                      0,               0.027803,              0.0048033,              0.0048033
                     39,                 1.7313,                 1.7522,                0.98002,                0.01064,                0.83333,                0.80153,                0.30923,                      0,                    inf,                      0,                0.02585,              0.0048498,              0.0048498
                     40,                 1.3381,                 1.4603,                0.94307,                0.01071,                0.83333,                0.82917,                  0.603,                      0,                    inf,                      0,               0.023892,              0.0048924,              0.0048924
                     41,                 1.4451,                 1.4069,                0.90984,                0.86142,                 0.7484,                0.80153,                0.48059,                      0,                    inf,                      0,               0.021931,               0.004931,               0.004931
                     42,                 1.5613,                 1.4746,                0.93809,                0.86142,                 0.7484,                0.80153,                0.48059,                      0,                    inf,                      0,               0.019966,              0.0049657,              0.0049657
                     43,                 1.5934,                 1.6443,                0.92041,                0.64476,                0.83333,                0.82917,                0.53003,                      0,                    inf,                      0,               0.017996,              0.0049964,              0.0049964
                     44,                  1.412,                 1.3251,                0.89651,                0.64476,                0.83333,                0.82917,                0.53003,                      0,                    inf,                      0,               0.016023,              0.0050232,              0.0050232
                     45,                 1.3987,                 1.4852,                 0.9868,                0.01102,                0.83333,                0.82917,                0.47744,                      0,                    inf,                      0,               0.014046,               0.005046,               0.005046
                     46,                 1.4998,                  1.317,                0.91686,                0.01102,                0.83333,                0.82917,                0.47744,                      0,                    inf,                      0,               0.012065,              0.0050648,              0.0050648
                     47,                 1.5415,                 1.4292,                0.96644,                0.94698,                    0.5,                0.82917,                0.55311,                      0,                    inf,                      0,                0.01008,              0.0050797,              0.0050797
                     48,                 1.3039,                 1.4715,                 0.9958,                0.94698,                    0.5,                0.82917,                0.55311,                      0,                    inf,                      0,              0.0080906,              0.0050906,              0.0050906
                     49,                 1.3224,                 1.4382,                0.91623,                0.96634,                    0.5,                0.82917,                 0.5628,                      0,                    inf,                      0,              0.0060975,              0.0050975,              0.0050975
                     50,                 1.3959,                 1.7536,                0.93855,                0.96634,                    0.5,                0.82917,                 0.5628,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     51,                 1.3791,                 1.3733,                0.92682,                0.88551,                    0.5,                0.82917,                0.57471,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.1725,                 1.3283,                0.93577,                0.88551,                    0.5,                0.82917,                0.57471,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.4348,                 1.4179,                0.92896,                0.86935,                0.83333,                0.82917,                0.52747,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                  1.542,                 1.4001,                0.93383,                0.86935,                0.83333,                0.82917,                0.52747,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.4603,                 1.3176,                 1.0536,                0.87113,                0.76066,                0.82917,                0.55966,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.5144,                 1.3218,                0.94469,                0.87113,                0.76066,                0.82917,                0.55966,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.3886,                 1.3121,                0.94778,                0.89036,                0.75424,                0.82917,                0.54741,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.2895,                 1.2426,                0.99071,                0.89036,                0.75424,                0.82917,                0.54741,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2987,                  1.295,                0.96866,                0.88112,                0.76333,                0.82917,                0.55829,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                  1.319,                 1.2289,                0.89288,                0.88112,                0.76333,                0.82917,                0.55829,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.2645,                 1.2052,                0.92182,                0.84052,                0.83333,                0.80694,                0.48119,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                  1.296,                 1.1681,                0.94292,                0.84052,                0.83333,                0.80694,                0.48119,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                   1.38,                 1.1519,                0.94499,                0.85091,                0.83333,                0.82917,                0.53634,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.4732,                 1.2488,                0.95154,                0.85091,                0.83333,                0.82917,                0.53634,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.4481,                 1.1961,                0.91132,                0.85098,                0.83333,                0.82917,                0.55045,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.1596,                 1.1516,                 0.8961,                0.85098,                0.83333,                0.82917,                0.55045,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.2612,                 1.2374,                0.90359,                0.86875,                0.83333,                0.82917,                0.54224,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 1.2789,                 1.1581,                0.92672,                0.86875,                0.83333,                0.82917,                0.54224,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 1.3468,                 1.3672,                0.94915,                0.85122,                0.83333,                0.82917,                0.56948,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 1.2548,                 1.2218,                0.92056,                0.85122,                0.83333,                0.82917,                0.56948,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.2111,                 1.1333,                 0.9327,                0.88793,                0.83333,                0.82917,                0.57687,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.2004,                 1.0703,                0.92263,                0.88793,                0.83333,                0.82917,                0.57687,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 1.2743,                 1.3442,                0.90851,                0.87204,                0.83333,                0.82917,                 0.6143,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                  1.382,                 1.1092,                0.91854,                0.87204,                0.83333,                0.82917,                 0.6143,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 1.2462,                 1.1063,                0.91424,                0.87614,                0.83333,                0.82917,                0.58954,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 1.2542,                 1.0734,                0.91472,                0.87614,                0.83333,                0.82917,                0.58954,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                 1.2041,                 1.0913,                0.94462,                0.85623,                0.83333,                0.82917,                0.59102,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 1.1736,                 1.0894,                0.90494,                0.85623,                0.83333,                0.82917,                0.59102,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 1.1122,                 1.0183,                0.90643,                0.86944,                0.83333,                0.82992,                0.61502,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                 1.2112,                 1.2032,                0.95594,                0.86944,                0.83333,                0.82992,                0.61502,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                 1.1471,                 1.0571,                0.95468,                0.86932,                0.83333,                0.83116,                0.60251,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                 1.1807,                 1.1145,                0.96611,                0.86932,                0.83333,                0.83116,                0.60251,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                  1.146,                0.96718,                0.89338,                0.87524,                0.83333,                0.83154,                0.59183,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                 1.0079,                  1.221,                0.92808,                0.87524,                0.83333,                0.83154,                0.59183,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                 1.1414,                 1.0432,                0.90937,                0.86575,                0.83333,                0.83285,                0.61413,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 1.1026,                 1.0223,                0.87941,                0.86575,                0.83333,                0.83285,                0.61413,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                 1.1545,                0.99809,                0.85685,                0.85867,                0.83333,                0.83638,                0.61111,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 1.1237,                0.92848,                0.88689,                0.85867,                0.83333,                0.83638,                0.61111,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                 1.1165,                 1.0335,                0.91714,                0.86942,                0.83333,                0.84575,                0.61139,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 1.1241,                  1.199,                0.94925,                0.86942,                0.83333,                0.84575,                0.61139,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                 1.0689,                 1.2151,                0.93124,                0.86584,                0.83333,                  0.995,                0.69314,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                 1.0967,                 1.1658,                0.95069,                0.86584,                0.83333,                  0.995,                0.69314,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                 1.0884,                 1.0674,                0.90092,                0.87938,                0.83333,                  0.995,                0.69875,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 1.1831,                 1.2559,                0.93601,                0.87938,                0.83333,                  0.995,                0.69875,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                   1.11,                 1.2018,                0.96852,                0.88759,                0.83333,                  0.995,                0.69575,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                 1.0662,                 1.2259,                0.89509,                0.88759,                0.83333,                  0.995,                0.69575,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                 1.0807,                 1.0847,                0.91312,                0.88818,                0.83333,                  0.995,                0.69256,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 1.1455,                 1.3239,                0.93486,                0.88818,                0.83333,                  0.995,                0.69256,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 1.0982,                 1.1866,                0.88315,                0.89042,                0.83333,                  0.995,                0.66251,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
